ObjectID,GlobalID,CreationDate,Creator,EditDate,Editor,Date and Time,Observer,Other - Observer,SIte,Other - SIte,Ceylon Grid ID,Other - Ceylon Grid ID,Burrow ID Number,Type of Burrow,Other - Type of Burrow,Burrow Width (cm),Does this burrow have a gopher frog record?,Did you see a gopher frog?,Did you see a tortoise?,Did you set a trap?,Should this burrow be scoped again?,Burrow Notes ,Did you add the burrow to the scoping Avenza Layer?,Notes ,Could you scope to the end of the burrow?,Has this been scoped previously this season? ,x,y
260,114f8fcc-0ad6-4f39-a19b-c8fe4b624448,02/10/2024 22:09:40.792,prh01934_USG,02/10/2024 22:09:40.792,prh01934_USG,02/10/2024 17:16:13.553,"Eva_Kerr,Kristina_Hefferle_,other","Erin, Paul",Ceylon WMA,,I8,,I8009,Tortoise Burrow,,33,No,No,No,No,Yes,,Yes,,Yes,No,-81.58231362,30.94149382
261,9a5821b9-e9f4-4a76-872b-902c47e50d3e,02/10/2024 22:09:42.067,prh01934_USG,02/10/2024 22:09:42.067,prh01934_USG,02/10/2024 18:08:29.581,"Eva_Kerr,Kristina_Hefferle_,other","Erin, Paul",Ceylon WMA,,I8,,I8012,Tortoise Burrow,,30,No,No,No,No,Yes,,Yes,,No,Yes,-81.58323584,30.94142635
262,e5b50653-be0e-4c99-b324-ca8362d279ea,02/10/2024 22:09:43.128,prh01934_USG,02/10/2024 22:09:43.128,prh01934_USG,2/10/24 18:26,"Eva_Kerr,Kristina_Hefferle_",,Ceylon WMA,,I8,,I8013,Tortoise Burrow,,14,No,No,Yes,No,Yes,,Yes,,No,No,-81.58310706,30.94128003
263,b6d9fde0-e5c9-4a8e-9b0e-3832a13e0cd1,02/10/2024 22:09:44.251,prh01934_USG,02/10/2024 22:09:44.251,prh01934_USG,02/10/2024 18:31:13.192,"Eva_Kerr,Kristina_Hefferle_,other","Erin, Paul",Ceylon WMA,,I8,,I8014,Tortoise Burrow,,27,No,No,Yes,No,Yes,,Yes,,No,No,-81.58302705,30.94131423
264,db374cba-e5ae-4338-9f1b-bda4fd9bcfc9,02/10/2024 22:09:45.237,prh01934_USG,02/10/2024 22:09:45.237,prh01934_USG,02/10/2024 18:35:22.711,"Eva_Kerr,Kristina_Hefferle_,other","Erin, Paul ",Ceylon WMA,,I8,,I8015,Tortoise Burrow,,10,No,No,Yes,No,Yes,,Yes,,No,No,-81.58294945,30.94129608
265,80ae3b4e-ddc4-4ae2-a7e5-3bee505a0088,02/10/2024 22:09:46.102,prh01934_USG,02/10/2024 22:09:46.102,prh01934_USG,02/10/2024 18:47:33.433,"Eva_Kerr,Kristina_Hefferle_,other","Erin, Paul",Ceylon WMA,,I8,,I8016,Tortoise Burrow,,15,No,No,No,No,Yes,,Yes,,Yes,No,-81.58300704,30.94107939
266,12a9ca23-e7dc-48a0-8fd4-e991a07c5887,02/10/2024 22:09:46.856,prh01934_USG,02/10/2024 22:09:46.856,prh01934_USG,2/10/24 18:56,"Eva_Kerr,Kristina_Hefferle_,other","Erin, Paul",Ceylon WMA,,I8,,I8017,Tortoise Burrow,,34,No,No,No,No,No,,Yes,,No,No,-81.5834335,30.94154101
267,f8c5cab4-128e-4b64-904c-50bf48860c9f,02/10/2024 22:09:48.069,prh01934_USG,02/10/2024 22:09:48.069,prh01934_USG,2/10/24 19:03,"Eva_Kerr,Kristina_Hefferle_,other","Erin, Paul",Ceylon WMA,,I8,,I8018,Tortoise Burrow,,7,No,No,Yes,No,Yes,,Yes,,No,No,-81.58339807,30.94139227
268,255716fe-2714-49da-a9af-418999a910e4,02/10/2024 22:09:48.755,prh01934_USG,02/10/2024 22:09:48.755,prh01934_USG,02/10/2024 19:17:48.885,"Eva_Kerr,Kristina_Hefferle_,other","Erin, Paul",Ceylon WMA,,I8,,I8021,Tortoise Burrow,,25,No,No,Yes,No,Yes,,Yes,,No,No,-81.58357539,30.94139752
269,9785554c-527e-49d7-9c70-4aecd9b58681,02/10/2024 22:09:49.484,prh01934_USG,02/10/2024 22:09:49.484,prh01934_USG,2/10/24 19:22,"Eva_Kerr,Kristina_Hefferle_,other","Erin, Paul",Ceylon WMA,,I8,,I8022,Tortoise Burrow,,30,No,No,No,No,Yes,Wet,Yes,,No,No,-81.58392038,30.94123227
